Date,Nifty,TCS.BO,INFY.BO,RELIANCE.BO,HDFCBANK.BO,ICICIBANK.BO
2022-01-03,17625.69921875,3696.119384765625,1871.9879150390625,2388.692626953125,1502.4739990234375,753.9867553710938
2022-01-04,17805.25,3758.606201171875,1871.099853515625,2441.74462890625,1511.075439453125,762.0220947265625
2022-01-05,17925.25,3737.648193359375,1820.480224609375,2449.99072265625,1546.91455078125,776.5151977539062
2022-01-06,17745.900390625,3685.1806640625,1794.0849609375,2400.86279296875,1522.445068359375,774.0010986328125
2022-01-07,17812.69921875,3731.646484375,1789.10205078125,2420.086669921875,1532.8260498046875,782.1842041015625
2022-01-10,18003.30078125,3755.363525390625,1826.548583984375,2421.775390625,1541.18017578125,799.0928344726562
2022-01-11,18055.75,3790.6484375,1831.43310546875,2438.913330078125,1547.9525146484375,799.0435791015625
2022-01-12,18212.349609375,3733.9697265625,1852.6971435546875,2504.185546875,1538.9063720703125,812.5014038085938
2022-01-13,18257.80078125,3773.07861328125,1871.83984375,2518.839599609375,1511.02587890625,812.7972412109375
2022-01-14,18255.75,3842.39013671875,1902.6259765625,2522.16748046875,1527.734375,808.6563720703125
2022-01-17,18308.099609375,3890.647216796875,1913.628173828125,2535.678955078125,1504.3031005859375,807.86767578125
2022-01-18,18113.05078125,3862.718994140625,1895.47216796875,2504.43408203125,1512.26171875,811.7620239257812
2022-01-19,17938.400390625,3790.6484375,1842.928466796875,2504.980224609375,1501.3370361328125,796.97314453125
2022-01-20,17757.0,3705.509521484375,1799.9561767578125,2462.65771484375,1492.5872802734375,798.5506591796875
2022-01-21,17617.150390625,3712.285888671875,1762.3614501953125,2461.96240234375,1503.462646484375,793.27587890625
2022-01-24,17149.099609375,3650.960205078125,1713.86328125,2362.067138671875,1470.5894775390625,786.9660034179688
2022-01-25,17277.94921875,3649.605224609375,1699.259521484375,2358.241943359375,1470.391845703125,790.2688598632812
2022-01-27,17110.150390625,3533.440673828125,1656.2379150390625,2323.02294921875,1459.5660400390625,782.8250732421875
2022-01-28,17101.94921875,3572.30712890625,1662.8983154296875,2320.191650390625,1446.71337890625,770.1066284179688
2022-01-31,17339.849609375,3618.43408203125,1713.6658935546875,2370.809814453125,1468.711181640625,778.1419677734375
2022-02-01,17576.849609375,3679.1787109375,1748.645751953125,2364.947998046875,1481.4154052734375,798.5013427734375
2022-02-02,17780.0,3733.727783203125,1764.3841552734375,2367.978271484375,1513.8436279296875,802.3463745117188
2022-02-03,17560.19921875,3702.75048828125,1715.639404296875,2337.37890625,1497.1845703125,797.466064453125
2022-02-04,17516.30078125,3692.731201171875,1717.8594970703125,2316.614990234375,1506.972412109375,793.6209716796875
2022-02-07,17213.599609375,3657.83349609375,1692.105712890625,2302.556884765625,1451.9532470703125,775.2827758789062
2022-02-08,17266.75,3622.790283203125,1693.783203125,2340.260009765625,1444.5382080078125,781.5433959960938
2022-02-09,17463.80078125,3641.0380859375,1714.455322265625,2368.425537109375,1480.7232666015625,791.4026489257812
2022-02-10,17605.849609375,3650.669921875,1745.3895263671875,2363.507568359375,1506.87353515625,793.916748046875
2022-02-11,17374.75,3577.486083984375,1698.1741943359375,2361.371826171875,1501.6336669921875,779.9165649414062
2022-02-14,16842.80078125,,,,,
2022-02-15,17352.44921875,3695.683837890625,1715.1954345703125,2401.60791015625,1500.990966796875,765.226318359375
2022-02-16,17322.19921875,3691.666748046875,1709.768310546875,2396.640625,1498.865478515625,754.5783081054688
2022-02-17,17304.599609375,3663.49658203125,1702.4664306640625,2428.978515625,1489.2259521484375,739.49365234375
2022-02-18,17276.30078125,3673.515625,1684.45849609375,2408.363525390625,1495.50390625,739.0006713867188
2022-02-21,17206.650390625,3601.348388671875,1707.6468505859375,2384.519775390625,1504.500732421875,743.683837890625
2022-02-22,17092.19921875,3472.018310546875,1711.1497802734375,2372.6474609375,1494.3175048828125,740.82470703125
2022-02-23,17063.25,3451.350830078125,1720.227783203125,2358.341552734375,1484.875732421875,734.2189331054688
2022-02-24,16247.9501953125,3293.511962890625,1655.2510986328125,2240.911376953125,1403.5086669921875,697.2960205078125
2022-02-25,16658.400390625,3407.2080078125,1671.43359375,2269.076416015625,1439.1500244140625,720.1694946289062
2022-02-28,16793.900390625,3440.944580078125,1694.5233154296875,2343.7373046875,1410.528076171875,732.0006103515625
2022-03-02,16605.94921875,3431.0703125,1680.5115966796875,2382.781005859375,1358.9693603515625,704.6411743164062
2022-03-03,16498.05078125,3431.1669921875,1697.730224609375,2362.712646484375,1354.718017578125,688.4719848632812
2022-03-04,16245.349609375,3412.5322265625,1700.6904296875,2310.20703125,1351.109375,678.51416015625
2022-03-07,15863.150390625,3373.907470703125,1716.478271484375,2225.363037109375,1308.6956787109375,643.168701171875
2022-03-08,16013.4501953125,3484.89306640625,1754.8621826171875,2222.13427734375,1312.0078125,655.5913696289062
2022-03-09,16345.349609375,3517.225830078125,1789.39794921875,2338.4716796875,1355.21240234375,657.7604370117188
2022-03-10,16594.900390625,3504.399169921875,1800.5975341796875,2377.664794921875,1376.3203125,667.0281372070312
2022-03-11,16630.44921875,3485.619140625,1798.1307373046875,2382.880615234375,1381.164794921875,668.5069580078125
2022-03-14,16871.30078125,3526.27685546875,1865.72216796875,2402.80029296875,1426.0501708984375,686.3029174804688
2022-03-15,16663.0,3480.488525390625,1814.7572021484375,2348.058837890625,1407.6611328125,687.5353393554688
2022-03-16,16975.349609375,3537.457763671875,1863.6007080078125,2387.599609375,1431.4383544921875,698.0847778320312
